id_aluguel;data_locacao;id_carro;id_cliente
1;2024/11/11;22;8
2;2023/9/9;16;9
3;2022/8/17;11;7
4;2024/5/10;29;4
5;2024/11/28;27;6
6;2023/10/14;5;6
7;2022/1/12;30;10
8;2022/5/18;23;7
9;2024/10/16;4;3
10;2024/8/25;30;2
11;2022/7/1;29;1
12;2022/11/22;19;8
13;2023/7/21;13;9
14;2024/10/24;21;9
15;2022/2/5;24;2
16;2024/9/9;20;10
17;2022/4/15;10;9
18;2024/5/28;11;5
19;2023/2/22;18;3
20;2022/9/27;3;4
21;2022/2/4;17;1
22;2024/11/16;22;10
23;2024/1/6;29;1
24;2022/11/22;24;1
25;2023/7/3;20;5
26;2023/1/27;11;10
27;2022/12/22;21;2
28;2023/1/22;28;4
29;2022/3/26;6;2
30;2022/8/13;8;4
31;2022/6/28;29;6
32;2023/3/6;16;1
33;2023/4/2;16;9
34;2022/7/17;8;3
35;2023/5/20;22;8
36;2022/1/1;27;6
37;2022/9/7;30;4
38;2024/4/4;2;9
39;2023/3/11;10;10
40;2023/5/20;6;8
41;2022/11/7;20;8
42;2024/1/3;22;1
43;2023/11/12;30;6
44;2023/10/21;13;8
45;2024/3/10;29;1
46;2022/6/10;25;2
47;2023/9/6;11;10
48;2022/7/27;28;8
49;2023/4/7;14;4
50;2024/8/24;17;7
51;2022/6/3;28;8
52;2023/2/27;13;3
53;2022/3/15;10;10
54;2023/4/27;9;9
55;2024/9/2;7;3
56;2024/10/24;3;4
57;2023/5/21;7;8
58;2024/8/11;19;9
59;2024/9/17;2;5
60;2024/2/21;20;7
61;2022/8/22;28;5
62;2024/4/24;26;8
63;2023/4/25;28;5
64;2024/7/28;21;4
65;2024/11/24;14;8
66;2022/4/21;12;3
67;2022/9/26;1;9
68;2024/11/6;2;9
69;2024/2/2;12;2
70;2024/10/22;25;1
71;2023/4/1;1;8
72;2024/2/13;16;6
73;2023/4/14;11;8
74;2023/10/11;28;9
75;2024/2/3;10;4
76;2022/9/18;10;3
77;2024/12/26;29;2
78;2024/12/4;16;2
79;2022/9/11;7;7
